rank,name,symbol,price,change,market_cap
1,테더,USDT,"1,497
1,469","+1.88%
27.69","+0.27%
4.000"
2,엑스알피 [리플],XRP,"3,739
3,672","+1.84%
67.49","+3.89%
140.0"
3,비트코인,BTC,"154,565,000
151,824,390","+1.81%
2,740,610","-0.38%
-584,000"
4,이더리움,ETH,"5,285,000
5,186,121","+1.91%
98,879","+1.17%
61,000"
5,솔라나,SOL,"233,800
229,550","+1.85%
4,250","-1.14%
-2,700"
6,버추얼 프로토콜,VIRTUAL,"1,980
1,941","+2.00%
38.75","-0.95%
-19.00"
7,도지코인,DOGE,"263.0
258.7","+1.66%
4.284","+0.38%
1.000"
8,리스크,LSK,"388.0
383.5","+1.18%
4.510","-19.33%
-93.00"
9,파티클 네트워크,PARTI,"156.0
153.0","+1.99%
3.045","+41.82%
46.00"
10,월드코인,WLD,"1,204
1,181","+1.92%
22.67","+1.60%
19.00"
11,쑨,SOON,"3,054",,"-2.43%
-76.00"
12,스토리,IP,"5,965",,"-4.02%
-250.0"
13,팝캣,POPCAT,192.0,,"-30.18%
-83.00"
14,오피셜 트럼프,TRUMP,"11,530
11,328","+1.78%
201.6","+0.35%
40.00"
15,바빌론,BABY,"49.36
48.35","+2.08%
1.005","+8.39%
3.820"
16,펏지 펭귄,PENGU,"22.24
21.82","+1.94%
0.4222","-1.81%
-0.4100"
17,그로스톨코인,GRS,311.0,,"-19.43%
-75.00"
18,에테나,ENA,"485.0
475.6","+1.97%
9.384","+0.21%
1.000"
19,리졸브,RESOLV,"181.0
177.5","+1.98%
3.507","-5.24%
-10.00"
20,유니스왑,UNI,"12,160
11,915","+2.06%
245.4","-0.41%
-50.00"
